candidate_id,ref_id,marferret_name,tax_id,lineage,data_type,data_source,pub_year,source_filename,seq_type,n_seqs_raw,aa_fasta
18,588,Chrysophyceae_sp_TOSAG23-5,1735749,stramenopile,SAG,TARA,2018,chryh2.faa,aa,1637,18_Chrysophyceae_sp_TOSAG23-5.faa
19,589,Calanus_finmarchicus,6837,metazoa,TSA,NCBI,2014,Calanus_finmarchicus.PRJNA236528.fa.fasta,nt,206012,19_Calanus_finmarchicus.faa
20,590,Calanus_glacialis,113644,metazoa,TSA,NCBI,2015,Calanus_glacialis.PRJNA237014.fasta,nt,36880,20_Calanus_glacialis.faa
21,591,Neocalanus_flemingeri,119369,metazoa,TSA,NCBI,2018,GFUD01.1.fsa_nt.fasta,nt,140535,21_Neocalanus_flemingeri.faa
22,592,Acartia_tonsa,136180,metazoa,TSA,NCBI,2017,GFWY01.1.fsa_nt,nt,60662,22_Acartia_tonsa.faa
23,593,Eurytemora_affinis,88015,metazoa,TSA,NCBI,2016,GEAN01.1.fsa_nt,nt,107445,23_Eurytemora_affinis.faa
24,594,Labidocera_madurae,1501138,metazoa,TSA,NCBI,2017,GFWO01.1.fsa_nt,nt,210768,24_Labidocera_madurae.faa
25,595,Tigriopus_californicus,6832,metazoa,TSA,NCBI,2015,GBSZ01.1.fsa_nt,nt,12067,25_Tigriopus_californicus.faa
26,596,Tigriopus_kingsejongensis,1133412,metazoa,TSA,NCBI,2015,GDFW01.1.fsa_nt,nt,38250,26_Tigriopus_kingsejongensis.faa
27,597,Tigriopus_japonicus,158387,metazoa,TSA,NCBI,2015,GCHA01.1.fsa_nt,nt,54758,27_Tigriopus_japonicus.faa
28,598,Paracyclopina_nana,565004,metazoa,TSA,NCBI,2015,GCJT01.1.fsa_nt,nt,60687,28_Paracyclopina_nana.faa
29,599,Eucyclops_serrulatus,84317,metazoa,TSA,NCBI,2014,GARW01.1.fsa_nt,nt,51528,29_Eucyclops_serrulatus.faa
30,600,Lepeophtheirus_salmonis,72036,metazoa,TSA,NCBI,2015,HACA01P.1.fsa_aa,aa,33918,30_Lepeophtheirus_salmonis.faa
31,601,Caligus_rogercresseyi,217165,metazoa,TSA,NCBI,2014,GAZX01.1.fsa_nt,nt,44088,31_Caligus_rogercresseyi.faa
32,602,Pleuromamma_xiphias,503034,metazoa,TSA,NCBI,2018,GFCI01.1.fsa_nt,nt,554991,32_Pleuromamma_xiphias.faa
33,603,Nitzschia_sp_Nitz4,2041349,diatom,TSA,NCBI,2020,GIQR01.1.fsa_nt,nt,24322,33_Nitzschia_sp_Nitz4.faa
35,604,Ankylochrysis_sp_RCC2491,1764641,ochrophyte,TSA,RCC,2020,RCC-METDB_00017-ankylochrysis-sp-malift191.5pg1-paired.fasta,nt,108001,35_Ankylochrysis_sp_RCC2491.faa
36,605,Aureococcus_anophagefferens,44056,ochrophyte,TSA,RCC,2020,RCC-METDB_00030-aureococcus-anophagefferens-ccmp1784-paired.fasta,nt,51884,36_Aureococcus_anophagefferens.faa
37,606,Bigelowiella_natans,227086,rhizaria,TSA,RCC,2020,RCC-METDB_00044-bigelowiella-natans-bl_33-3-paired.fasta,nt,136867,37_Bigelowiella_natans.faa
38,607,Bigelowiella_sp_RCC560,1764863,rhizaria,TSA,RCC,2020,RCC-METDB_00045-bigelowiella-sp-bl_34-paired.fasta,nt,122937,38_Bigelowiella_sp_RCC560.faa
39,608,Pelagomonas_calceolata,35677,ochrophyte,TSA,RCC,2020,RCC-METDB_00310-pelagomonas-calceolata-boum81-4-paired.fasta,nt,81704,39_Pelagomonas_calceolata.faa
43,609,Chloropicon_sp_CCMP2113,2864388,chlorophyte,TSA,RCC,2020,RCC-METDB_00082-chloropicon-sp-ccmp2113-paired.fasta,nt,25923,43_Chloropicon_sp_CCMP2113.faa
44,610,Chroodactylon_ramnosum,139907,rhodophyte,TSA,RCC,2020,RCC-METDB_00086-chroodactylon-ramnosum-sag103.79-paired.fasta,nt,83556,44_Chroodactylon_ramnosum.faa
45,611,Emiliania_huxleyi,2903,haptophyte,TSA,RCC,2020,RCC-METDB_00146-emiliania-huxleyi-ac675syn.os2-paired.fasta,nt,190227,45_Emiliania_huxleyi.faa
46,612,Emiliania_huxleyi,2903,haptophyte,TSA,RCC,2020,RCC-METDB_00150-emiliania-huxleyi-boum77-paired.fasta,nt,115025,46_Emiliania_huxleyi.faa
47,613,Emiliania_huxleyi,2903,haptophyte,TSA,RCC,2020,RCC-METDB_00151-emiliania-huxleyi-chc2-paired.fasta,nt,154229,47_Emiliania_huxleyi.faa
48,614,Pelagomonas_calceolata,35677,ochrophyte,TSA,RCC,2020,RCC-METDB_00311-pelagomonas-calceolata-indianocean_17-1-paired.fasta,nt,49601,48_Pelagomonas_calceolata.faa
49,615,Gephyrocapsa_muellerae,1663125,haptophyte,TSA,RCC,2020,RCC-METDB_00180-gephyrocapsa-mullerae-chc184-paired.fasta,nt,120869,49_Gephyrocapsa_muellerae.faa
50,616,Pelagomonas_calceolata,35677,ochrophyte,TSA,RCC,2020,RCC-METDB_00312-pelagomonas-calceolata-biosope_111c1e-paired.fasta,nt,31553,50_Pelagomonas_calceolata.faa
51,617,Glossomastix_chrysoplasta,172669,ochrophyte,TSA,RCC,2020,RCC-METDB_00185-glossomastix-chrysoplasta-ccmp1537-paired.fasta,nt,40839,51_Glossomastix_chrysoplasta.faa
52,618,Guinardia_flaccida,216801,diatom,TSA,RCC,2020,RCC-METDB_00191-guinardia-flaccida-ra120910p1e1-paired.fasta,nt,44890,52_Guinardia_flaccida.faa
53,619,Naviculales_sp_RCC2677,1764899,diatom,TSA,RCC,2020,RCC-METDB_00198-haslea-sp-aka_5ap52.f2-paired.fasta,nt,56164,53_Naviculales_sp_RCC2677.faa
54,620,Mesopedinella_arctica,296676,ochrophyte,TSA,RCC,2020,RCC-METDB_00246-mesopedinella-arctica-prosope_2-paired.fasta,nt,150960,54_Mesopedinella_arctica.faa
55,621,Micromonas_commoda,1606511,chlorophyte,TSA,RCC,2020,RCC-METDB_00250-micromonas-commoda-biosope_46b4s-paired.fasta,nt,42441,55_Micromonas_commoda.faa
56,622,Minidiscus_sp_RCC1721,2604711,diatom,TSA,RCC,2020,RCC-METDB_00262-minidiscus-sp-ra080513-10-paired.fasta,nt,51623,56_Minidiscus_sp_RCC1721.faa
57,623,Navicula_sp_RCC3092,1764896,diatom,TSA,RCC,2020,RCC-METDB_00269-navicula-sp-ra120910p2a1-paired.fasta,nt,72551,57_Navicula_sp_RCC3092.faa
58,624,Ochromonas_triangulata,1964564,ochrophyte,TSA,RCC,2020,RCC-METDB_00278-ochromonas-triangulata-chr25-paired.fasta,nt,44109,58_Ochromonas_triangulata.faa
59,625,Phaeocystis_sp_RCC908,464236,haptophyte,TSA,RCC,2020,RCC-METDB_00485-phaeocystis-sp-biosope226fl2-3-paired.fasta,nt,78817,59_Phaeocystis_sp_RCC908.faa
60,626,Partenskyella_glossopodia,552666,rhizaria,TSA,RCC,2020,RCC-METDB_00299-partenskyella-glossopodia-prosope_99-paired.fasta,nt,63741,60_Partenskyella_glossopodia.faa
61,627,Pelagomonas_calceolata,35677,ochrophyte,TSA,RCC,2020,RCC-METDB_00309-pelagomonas-calceolata-ccmp1214-paired.fasta,nt,32250,61_Pelagomonas_calceolata.faa
62,628,Pelagophyceae_sp_RCC2696,1764647,ochrophyte,TSA,RCC,2020,RCC-METDB_00316-pelagophyceae_xxx-sp-akap71.e10-paired.fasta,nt,46597,62_Pelagophyceae_sp_RCC2696.faa
63,629,Phaeocystis_antarctica,33657,haptophyte,TSA,RCC,2020,RCC-METDB_00325-phaeocystis-antarctica-ccmp1374-paired.fasta,nt,103290,63_Phaeocystis_antarctica.faa
64,630,Phaeocystis_antarctica,33657,haptophyte,TSA,RCC,2020,RCC-METDB_00326-phaeocystis-antarctica-ccmp1871-paired.fasta,nt,162178,64_Phaeocystis_antarctica.faa
65,631,Phaeocystis_cordata,118079,haptophyte,TSA,RCC,2020,RCC-METDB_00327-phaeocystis-cordata-ccmp2495-paired.fasta,nt,80926,65_Phaeocystis_cordata.faa
66,632,Phaeocystis_globosa,33658,haptophyte,TSA,RCC,2020,RCC-METDB_00329-phaeocystis-globosa-rikz-graves-paired.fasta,nt,121626,66_Phaeocystis_globosa.faa
68,633,Phaeocystis_globosa,33658,haptophyte,TSA,RCC,2020,RCC-METDB_00334-phaeocystis-sp-nies1396-paired.fasta,nt,111156,68_Phaeocystis_globosa.faa
69,634,Phaeocystis_sp_RCC851,464232,haptophyte,TSA,RCC,2020,RCC-METDB_00335-phaeocystis-sp-biosope202-paired.fasta,nt,145499,69_Phaeocystis_sp_RCC851.faa
70,635,Phaeocystis_sp_RCC935,464238,haptophyte,TSA,RCC,2020,RCC-METDB_00336-phaeocystis-sp-biosope219fl2-3-paired.fasta,nt,76231,70_Phaeocystis_sp_RCC935.faa
71,636,Pleurosigma_sp_RCC3090,1764931,diatom,TSA,RCC,2020,RCC-METDB_00346-pleurosigma-sp-ra120910p1b3-paired.fasta,nt,104593,71_Pleurosigma_sp_RCC3090.faa
72,637,Thalassiosira_bioculata,1048533,diatom,TSA,RCC,2020,RCC-METDB_00408-shionodiscus-bioculatus-malinaft99.3pg3bis-paired.fasta,nt,73450,72_Thalassiosira_bioculata.faa
73,638,Synedra_sp_RCC2510,1764925,diatom,TSA,RCC,2020,RCC-METDB_00442-synedra-sp-malinas93p44.d11-paired.fasta,nt,38813,73_Synedra_sp_RCC2510.faa
74,639,Triparma_pacifica,91992,ochrophyte,TSA,RCC,2020,RCC-METDB_00475-triparma-pacifica-oli94sch-paired.fasta,nt,42880,74_Triparma_pacifica.faa
75,640,Triparma_pacifica,91992,ochrophyte,TSA,RCC,2020,RCC-METDB_00476-triparma-pacifica-min129-20maa-paired.fasta,nt,43658,75_Triparma_pacifica.faa
76,641,Amoebophrya_sp_AT5_2,1775427,dinoflagellate,genome,JGI-Phycocosm,2019,Amoce1_GeneCatalog_proteins_20200805.aa.fasta,aa,19925,76_Amoebophrya_sp_AT5_2.faa
77,642,Aplanochytrium_kerguelense_PBS07,702273,stramenopile,genome,JGI-Phycocosm,2013,Aplke1_GeneCatalog_proteins_20121220.aa.fasta,aa,11892,77_Aplanochytrium_kerguelense_PBS07.faa
78,643,Aurantiochytrium_limacinum,717989,stramenopile,genome,JGI-Phycocosm,2012,Aurli1_GeneCatalog_proteins_20120618.aa.fasta,aa,14859,78_Aurantiochytrium_limacinum.faa
79,644,Aureococcus_anophagefferens,44056,ochrophyte,genome,JGI-Phycocosm,2011,proteins.Auran1_FilteredModels3.fasta,aa,11501,79_Aureococcus_anophagefferens.faa
80,645,Auxenochlorella_protothecoides_0710,1432497,chlorophyte,genome,JGI-Phycocosm,2014,Auxeprot1_GeneCatalog_proteins_20170909.aa.fasta,aa,7013,80_Auxenochlorella_protothecoides_0710.faa
81,646,Auxenochlorella_protothecoides,3075,chlorophyte,genome,JGI-Phycocosm,2018,Auxpr25_1_GeneCatalog_proteins_20200805.aa.fasta,aa,6041,81_Auxenochlorella_protothecoides.faa
82,647,Bathycoccus_prasinos_RCC1105,1075084,chlorophyte,genome,JGI-Phycocosm,2012,Batpra1_GeneCatalog_proteins_20180426.aa.fasta,aa,7900,82_Bathycoccus_prasinos_RCC1105.faa
83,648,Bigelowiella_natans_CCMP2755,753081,rhizaria,genome,JGI-Phycocosm,2012,Bigna1_filtered_proteins.fasta,aa,21708,83_Bigelowiella_natans_CCMP2755.faa
84,649,Blastocystis_hominis,12968,chlorophyte,genome,JGI-Phycocosm,2011,Blahom1_GeneCatalog_proteins_20180131.aa.fasta,aa,6020,84_Blastocystis_hominis.faa
85,650,Botryococcus_braunii_Showa,1202541,chlorophyte,genome,JGI-Phycocosm,2017,Botrbrau1_GeneCatalog_proteins_20200805.aa.fasta,aa,23685,85_Botryococcus_braunii_Showa.faa
86,651,Breviolum_minutum,2499525,dinoflagellate,genome,JGI-Phycocosm,2013,Bremi1_GeneCatalog_proteins_20200813.aa.fasta,aa,47014,86_Breviolum_minutum.faa
87,652,Caulerpa_lentillifera,148947,chlorophyte,genome,JGI-Phycocosm,2019,Caulen1_GeneCatalog_proteins_20200307.aa.fasta,aa,8818,87_Caulerpa_lentillifera.faa
88,653,Chara_braunii,69332,chlorophyte,genome,JGI-Phycocosm,2018,Chabra1_GeneCatalog_proteins_20200807.aa.fasta,aa,35672,88_Chara_braunii.faa
89,654,Chlamydomonas_eustigma,1157962,chlorophyte,genome,JGI-Phycocosm,2017,Chleu1_GeneCatalog_proteins_20200804.aa.fasta,aa,14061,89_Chlamydomonas_eustigma.faa
90,655,Chlamydomonas_incerta,51695,chlorophyte,genome,JGI-Phycocosm,2021,Chlin1_GeneCatalog_proteins_20200804.aa.fasta,aa,16957,90_Chlamydomonas_incerta.faa
91,656,Chlamydomonas_reinhardtii,3055,chlorophyte,genome,JGI-Phycocosm,2007,Chlre5_6_GeneCatalog_proteins_20200117.aa.fasta,aa,16403,91_Chlamydomonas_reinhardtii.faa
92,657,Chlamydomonas_schloesseri,2026947,chlorophyte,genome,JGI-Phycocosm,2021,Chlsc1_GeneCatalog_proteins_20200804.aa.fasta,aa,16268,92_Chlamydomonas_schloesseri.faa
93,658,Chlorella_sp_A99,2041167,chlorophyte,genome,JGI-Phycocosm,2018,ChloA99_1_GeneCatalog_proteins_20200807.aa.fasta,aa,8298,93_Chlorella_sp_A99.faa
94,659,Chlorella_sorokiniana,3076,chlorophyte,genome,JGI-Phycocosm,2018,ChloDOE1412_1_GeneCatalog_proteins_20200805.aa.fasta,aa,12611,94_Chlorella_sorokiniana.faa
95,660,Chlorella_sorokiniana,3076,chlorophyte,genome,JGI-Phycocosm,2018,Chloso1230_1_GeneCatalog_proteins_20200805.aa.fasta,aa,12871,95_Chlorella_sorokiniana.faa
96,661,Chlorella_sorokiniana,3076,chlorophyte,genome,JGI-Phycocosm,2018,Chloso1602_1_GeneCatalog_proteins_20200805.aa.fasta,aa,10384,96_Chlorella_sorokiniana.faa
97,662,Chlorella_sorokiniana,3076,chlorophyte,genome,JGI-Phycocosm,2018,Chloso1228_1_GeneCatalog_proteins_20200805.aa.fasta,aa,12169,97_Chlorella_sorokiniana.faa
98,663,Chlorella_variabilis,554065,chlorophyte,genome,JGI-Phycocosm,2010,Chlorella_NC64A.best_proteins.fasta,aa,9791,98_Chlorella_variabilis.faa
99,664,Chlorokybus_atmophyticus,3144,chlorophyte,genome,JGI-Phycocosm,2020,Chlat1_GeneCatalog_proteins_20200803.aa.fasta,aa,9300,99_Chlorokybus_atmophyticus.faa
100,665,Chloropicon_primus,1764295,chlorophyte,genome,JGI-Phycocosm,2019,Chlpri1_GeneCatalog_proteins_20200307.aa.fasta,aa,8327,100_Chloropicon_primus.faa
101,666,Chondrus_crispus,2769,rhodophyte,genome,JGI-Phycocosm,2013,Chocri1_GeneCatalog_proteins_20180417.aa.fasta,aa,9808,101_Chondrus_crispus.faa
102,667,Chromochloris_zofingiensis,31302,chlorophyte,genome,JGI-Phycocosm,2017,Chrzof1_GeneCatalog_proteins_20190731.aa.fasta,aa,15274,102_Chromochloris_zofingiensis.faa
103,668,Chrysochromulina_parva,127563,haptophyte,genome,JGI-Phycocosm,2019,Chrpa1_GeneCatalog_proteins_20200805.aa.fasta,aa,28185,103_Chrysochromulina_parva.faa
104,669,Chrysochromulina_tobin,1460289,haptophyte,genome,JGI-Phycocosm,2015,Chrsp_1_GeneCatalog_proteins_20180813.aa.fasta,aa,16770,104_Chrysochromulina_tobin.faa
105,670,Cladocopium_goreaui,2562237,dinoflagellate,genome,JGI-Phycocosm,2018,Clago1_GeneCatalog_proteins_20200812.aa.fasta,aa,35913,105_Cladocopium_goreaui.faa
106,671,Cladosiphon_okamuranus,309737,ochrophyte,genome,JGI-Phycocosm,2016,Claok1_GeneCatalog_proteins_20200804.aa.fasta,aa,14750,106_Cladosiphon_okamuranus.faa
107,672,Coccomyxa_subellipsoidea,574566,chlorophyte,genome,JGI-Phycocosm,2012,Coccomyxa_C169_v2_filtered_proteins.fasta,aa,9629,107_Coccomyxa_subellipsoidea.faa
108,673,Cryptophyta_sp_CCMP2293,697907,cryptophyte,genome,JGI-Phycocosm,2017,Crypto2293_1_GeneCatalog_proteins_20160903.aa.fasta,aa,33051,108_Cryptophyta_sp_CCMP2293.faa
109,674,Cyanidioschyzon_merolae,45157,rhodophyte,genome,JGI-Phycocosm,2019,CyamerSoos_1_GeneCatalog_proteins_20200805.aa.fasta,aa,4406,109_Cyanidioschyzon_merolae.faa
110,675,Cyanidioschyzon_merolae_10D,280699,rhodophyte,genome,JGI-Phycocosm,2007,Cyamer1_GeneCatalog_proteins_20180616.aa.fasta,aa,4803,110_Cyanidioschyzon_merolae_10D.faa
111,676,Cyanophora_paradoxa,2762,glaucophyte,genome,JGI-Phycocosm,2019,Cyapar1_GeneCatalog_proteins_20200807.aa.fasta,aa,25518,111_Cyanophora_paradoxa.faa
112,677,Cyclotella_cryptica,29204,diatom,genome,JGI-Phycocosm,2016,Cyccr1_GeneCatalog_proteins_20200805.aa.fasta,aa,21121,112_Cyclotella_cryptica.faa
113,678,Dunaliella_salina,3046,chlorophyte,genome,JGI-Phycocosm,2017,Dunsal1_1_GeneCatalog_proteins_20200511.aa.fasta,aa,18801,113_Dunaliella_salina.faa
114,679,Ectocarpus_siliculosus,2880,ochrophyte,genome,JGI-Phycocosm,2010,Ectsil1_GeneCatalog_proteins_20171109.aa.fasta,aa,16271,114_Ectocarpus_siliculosus.faa
115,680,Edaphochlamys_debaryana,47281,chlorophyte,genome,JGI-Phycocosm,2021,Edade1_GeneCatalog_proteins_20200805.aa.fasta,aa,20450,115_Edaphochlamys_debaryana.faa
116,681,Emiliania_huxleyi_CCMP1516,280463,haptophyte,genome,JGI-Phycocosm,2013,Emihu1_best_proteins.fasta,aa,39125,116_Emiliania_huxleyi_CCMP1516.faa
117,682,Enallax_costatus,113528,chlorophyte,genome,JGI-Phycocosm,2018,Enacos1_GeneCatalog_proteins_20200927.aa.fasta,aa,19918,117_Enallax_costatus.faa
118,683,Fistulifera_solaris,1519565,diatom,genome,JGI-Phycocosm,2015,Fisso1_GeneCatalog_proteins_20200805.aa.fasta,aa,20413,118_Fistulifera_solaris.faa
119,684,Flechtneria_rotunda,269715,chlorophyte,genome,JGI-Phycocosm,2018,Flerot1_GeneCatalog_proteins_20200927.aa.fasta,aa,16799,119_Flechtneria_rotunda.faa
120,685,Fragilariopsis_cylindrus_CCMP1102,635003,diatom,genome,JGI-Phycocosm,2017,Fracy1_GeneModels_FilteredModels3_aa.fasta,aa,21066,120_Fragilariopsis_cylindrus_CCMP1102.faa
121,686,Fugacium_kawagutii,2697096,dinoflagellate,genome,JGI-Phycocosm,2015,Fugka2468_1_ExternalModels_proteins_20200813.aa.fasta,aa,26609,121_Fugacium_kawagutii.faa
122,687,Galdieria_phelgrea,1389228,rhodophyte,genome,JGI-Phycocosm,2019,Galph1_GeneCatalog_proteins_20200805.aa.fasta,aa,6125,122_Galdieria_phelgrea.faa
123,688,Galdieria_sulphuraria,130081,rhodophyte,genome,JGI-Phycocosm,2019,Gsu002_1_GeneCatalog_proteins_20200805.aa.fasta,aa,5912,123_Galdieria_sulphuraria.faa
124,689,Giardia_lamblia_ATCC50803,184922,other,genome,JGI-Phycocosm,2007,Giaint1_GeneCatalog_proteins_20191115.aa.fasta,aa,6502,124_Giardia_lamblia_ATCC50803.faa
125,690,Gonium_pectorale,33097,chlorophyte,genome,JGI-Phycocosm,2016,Gonpec1_GeneCatalog_proteins_20180501.aa.fasta,aa,16290,125_Gonium_pectorale.faa
126,691,Gracilariopsis_chorda,448386,rhodophyte,genome,JGI-Phycocosm,2018,Graco1_GeneCatalog_proteins_20200803.aa.fasta,aa,10806,126_Gracilariopsis_chorda.faa
127,692,Guillardia_theta_CCMP2712,905079,cryptophyte,genome,JGI-Phycocosm,2012,Guith1_GeneCatalog_proteins_20101209.aa.fasta,aa,24840,127_Guillardia_theta_CCMP2712.faa
128,693,Hyaloperonospora_arabidopsidis_Emoy2,559515,stramenopile,genome,JGI-Phycocosm,2010,Hyaar1_GeneCatalog_proteins_20210111.aa.fasta,aa,9138,128_Hyaloperonospora_arabidopsidis_Emoy2.faa
129,694,Klebsormidium_nitens,105231,Viridiplantae,genome,JGI-Phycocosm,2014,Klenit1_GeneCatalog_proteins_20200807.aa.fasta,aa,16132,129_Klebsormidium_nitens.faa
130,695,Mesostigma_viride,41882,Viridiplantae,genome,JGI-Phycocosm,2020,Mesovir1_GeneCatalog_proteins_20200803.aa.fasta,aa,9300,130_Mesostigma_viride.faa
131,696,Mesotaenium_endlicherianum,184485,Viridiplantae,genome,JGI-Phycocosm,2019,Mesen1_GeneCatalog_proteins_20200803.aa.fasta,aa,11080,131_Mesotaenium_endlicherianum.faa
132,697,Micractinium_conductrix,554055,chlorophyte,genome,JGI-Phycocosm,2018,Micco1_GeneCatalog_proteins_20200804.aa.fasta,aa,10070,132_Micractinium_conductrix.faa
133,698,Micromonas_commoda,296587,chlorophyte,genome,JGI-Phycocosm,2009,MicpuN3v2_GeneCatalog_proteins_20160404.aa.fasta,aa,10307,133_Micromonas_commoda.faa
134,699,Micromonas_pusilla_CCMP1545,564608,chlorophyte,genome,JGI-Phycocosm,2009,MicpuC3v2_GeneCatalog_proteins_20160125.aa.fasta,aa,9895,134_Micromonas_pusilla_CCMP1545.faa
135,700,Minidiscus_variabilis,659878,diatom,genome,JGI-Phycocosm,2020,Mintr2_GeneCatalog_proteins_20160618.aa.fasta,aa,25179,135_Minidiscus_variabilis.faa
136,701,Monoraphidium_neglectum,145388,chlorophyte,genome,JGI-Phycocosm,2013,Monneg1_GeneCatalog_proteins_20170920.aa.fasta,aa,16755,136_Monoraphidium_neglectum.faa
137,702,Naegleria_gruberi,5762,other,genome,JGI-Phycocosm,2010,Naegr1_best_proteins.fasta,aa,15753,137_Naegleria_gruberi.faa
138,703,Nannochloropsis_gaditana,72520,ochrophyte,genome,JGI-Phycocosm,2014,Nangad1_GeneCatalog_proteins_20180307.aa.fasta,aa,10929,138_Nannochloropsis_gaditana.faa
139,704,Nannochloropsis_oceanica_CCMP1779,1149776,ochrophyte,genome,JGI-Phycocosm,2017,Nanoce1779_2_GeneCatalog_proteins_20180119.aa.fasta,aa,10641,139_Nannochloropsis_oceanica_CCMP1779.faa
140,705,Nannochloropsis_salina_CCMP1776,1027361,ochrophyte,genome,JGI-Phycocosm,2019,Nansal1776_1_GeneCatalog_proteins_20200807.aa.fasta,aa,8927,140_Nannochloropsis_salina_CCMP1776.faa
141,706,Nemacystus_decipiens,2185085,ochrophyte,genome,JGI-Phycocosm,2019,Nemde1_GeneCatalog_proteins_20200804.aa.fasta,aa,17099,141_Nemacystus_decipiens.faa
142,707,Nitzschia_inconspicua,303405,diatom,genome,JGI-Phycocosm,2021,Nithil2_GeneCatalog_proteins_20201125.aa.fasta,aa,17968,142_Nitzschia_inconspicua.faa
143,708,Ochromonadaceae_sp_CCMP2298,483371,ochrophyte,genome,JGI-Phycocosm,2017,Ochro2298_1_GeneCatalog_proteins_20160817.aa.fasta,aa,20195,143_Ochromonadaceae_sp_CCMP2298.faa
144,709,Ochromonas_sp_CCMP1393,420556,ochrophyte,genome,JGI-Phycocosm,2020,Ochro1393_1_4_GeneCatalog_proteins_20181204.aa.fasta,aa,19714,144_Ochromonas_sp_CCMP1393.faa
145,710,Ostreococcus_sp_RCC809,385169,chlorophyte,genome,JGI-Phycocosm,2014,OstreococcusRCC809v2.FilteredModels3.proteins.fasta,aa,7492,145_Ostreococcus_sp_RCC809.faa
146,711,Ostreococcus_tauri,70448,chlorophyte,genome,JGI-Phycocosm,2017,Ostta1115_2_GeneCatalog_proteins_20170131.aa.fasta,aa,8218,146_Ostreococcus_tauri.faa
147,712,Ostreococcus_tauri,70448,chlorophyte,genome,JGI-Phycocosm,2014,Ostta4221_3_GeneCatalog_proteins_20161028.aa.fasta,aa,7669,147_Ostreococcus_tauri.faa
148,713,Oxytricha_trifallax,1172189,ciliate,genome,JGI-Phycocosm,2013,Oxytri1_GeneCatalog_proteins_20191115.aa.fasta,aa,24578,148_Oxytricha_trifallax.faa
149,714,Paramecium_tetraurelia_d4_2,412030,ciliate,genome,JGI-Phycocosm,2006,Partet1_GeneCatalog_proteins_20191116.aa.fasta,aa,39580,149_Paramecium_tetraurelia_d4_2.faa
