ref_id,marferret_name,tax_id,lineage.v1,data_type,data_source,pub_year,source_filename,seq_type,n_seqs_raw,aa_fasta,n_seqs_aa,Pfam34_raw_file,source_name,addnl_id,source_reference,source_link,source_filename
31,Caligus_rogercresseyi,217165,metazoa,TSA,NCBI,2014,GAZX01.1.fsa_nt.gz,nt,44088,GAZX01.6tr.bf1.fasta,264528,GAZX01.PFAM34.0.domtblout.tab,Caligus rogercresseyi,GAZX00000000,"via Maas 2018 (Leong, unpublished 2014)",https://www.ncbi.nlm.nih.gov/nuccore/GAZX00000000/,
32,Pleuromamma_xiphias,503034,metazoa,TSA,NCBI,2018,GFCI01.1.fsa_nt.gz,nt,554991,GFCI01.6tr.bf1.fasta,3329946,GFCI01.PFAM34.0.domtblout.tab,Pleuromamma xiphias,GFCI00000000,"Maas et al., 2018",https://www.ncbi.nlm.nih.gov/nuccore/GFCI00000000/,
33,Nitzschia_sp_Nitz4,2041349,diatom,TSA,NCBI,2020,GIQR01.1.fsa_nt.gz,nt,24322,GIQR01.6tr.bf1.fasta,145932,GIQR01.PFAM34.0.domtblout.tab,Nitzschia sp. strain Nitz4,GIQR00000000,Pendergrass 2020 (unpublished),https://www.ncbi.nlm.nih.gov/nuccore/GIQR00000000/,
34,Phaeocystis_globosa,33658,haptophyte,TSA,Zenodo,2018,phaeocystisglobosa_euk_seqs.fasta,nt,69528,phaeocystisglobosa_euk_seqs.6tr.bf1.fasta,417168,phaeocystisglobosa_euk_seqs.PFAM34.0.domtblout.tab,Phaeocystis globosa CCMP1528,,Brisbin and Mitarai 2018,https://zenodo.org/record/1476491#.Xld54xMzZ24,
35,Ankylochrysis_sp_RCC2491,1764641,ochrophyte,TSA,RCC,2020,RCC-METDB_00017-ankylochrysis-sp-malift191.5pg1-paired.fasta,nt,108001,RCC-METDB_00017-ankylochrysis-sp-malift191.5pg1-paired.6tr.bf1.fasta,648006,RCC-METDB_00017-ankylochrysis-sp-malift191.5pg1-paired.PFAM34.0.domtblout.tab,Ankylochrysis sp RCC2491,MALI FT191.5 PG1,"Niang et al., 2020",http://metdb.sb-roscoff.fr/metdb/assembly/17/,
36,Aureococcus_anophagefferens,44056,ochrophyte,TSA,RCC,2020,RCC-METDB_00030-aureococcus-anophagefferens-ccmp1784-paired.fasta,nt,51884,RCC-METDB_00030-aureococcus-anophagefferens-ccmp1784-paired.6tr.bf1.fasta,311304,RCC-METDB_00030-aureococcus-anophagefferens-ccmp1784-paired.6tr.PFAM34.0.domtblout.tab,Aureococcus anophagefferens RCC96,CCMP1784,"Niang et al., 2020",http://metdb.sb-roscoff.fr/metdb/assembly/30/,
37,Bigelowiella_natans,227086,rhizaria,TSA,RCC,2020,RCC-METDB_00044-bigelowiella-natans-bl_33-3-paired.fasta,nt,136867,RCC-METDB_00044-bigelowiella-natans-bl_33-3-paired.6tr.bf1.fasta,821202,RCC-METDB_00044-bigelowiella-natans-bl_33-3-paired.6tr.PFAM34.0.domtblout.tab,Bigelowiella natans RCC435,BL_33-3,"Niang et al., 2020",http://metdb.sb-roscoff.fr/metdb/assembly/44/,
38,Bigelowiella_sp_RCC560,1764863,rhizaria,TSA,RCC,2020,RCC-METDB_00045-bigelowiella-sp-bl_34-paired.fasta,nt,122937,RCC-METDB_00045-bigelowiella-sp-bl_34-paired.6tr.bf1.fasta,737622,RCC-METDB_00045-bigelowiella-sp-bl_34-paired.6tr.PFAM34.0.domtblout.tab,Bigelowiella sp RCC560,BL_34,"Niang et al., 2020",http://metdb.sb-roscoff.fr/metdb/assembly/45/,
39,Pelagomonas_calceolata,35677,ochrophyte,TSA,RCC,2020,RCC-METDB_00310-pelagomonas-calceolata-boum81-4-paired.fasta,nt,81704,RCC-METDB_00310-pelagomonas-calceolata-boum81-4-paired.6tr.bf1.fasta,490224,RCC-METDB_00310-pelagomonas-calceolata-boum81-4-paired.6tr.PFAM34.0.domtblout.tab,Pelagomonas calceolata RCC2362,BOUM81-4,"Niang et al., 2020",http://metdb.sb-roscoff.fr/metdb/assembly/289/,
40,Chloroparvula_sp_RCC696,2565275,chlorophyte,TSA,RCC,2020,RCC-METDB_00069-chloroparvula-sp_b2-indianocean_1-1-paired.fasta,nt,43461,RCC-METDB_00069-chloroparvula-sp_b2-indianocean_1-1-paired.6tr.bf1.fasta,260766,RCC-METDB_00069-chloroparvula-sp_b2-indianocean_1-1-paired.6tr.PFAM34.0.domtblout.tab,Chloroparvula sp_b2 RCC696,IndianOcean_1-1,"Niang et al., 2020",http://metdb.sb-roscoff.fr/metdb/assembly/68/,
41,Chloroparvula_sp_RCC999,464255,chlorophyte,TSA,RCC,2020,RCC-METDB_00070-chloroparvula-sp_b3-biosope_46c4s-paired.fasta,nt,33696,RCC-METDB_00070-chloroparvula-sp_b3-biosope_46c4s-paired.6tr.bf1.fasta,202176,RCC-METDB_00070-chloroparvula-sp_b3-biosope_46c4s-paired.6tr.PFAM34.0.domtblout.tab,Chloroparvula sp_b3 RCC999,biosope_46 C4S,"Niang et al., 2020",http://metdb.sb-roscoff.fr/metdb/assembly/69/,
42,Chloropicon_maureeniae,1461542,chlorophyte,TSA,RCC,2020,RCC-METDB_00074-chloropicon-maureeniae-lrf_5-paired.fasta,nt,52919,RCC-METDB_00074-chloropicon-maureeniae-lrf_5-paired.6tr.bf1.fasta,317514,RCC-METDB_00074-chloropicon-maureeniae-lrf_5-paired.6tr.PFAM34.0.domtblout.tab,Chloropicon maureeniae CCMP2152,LRF_5,"Niang et al., 2020",http://metdb.sb-roscoff.fr/metdb/assembly/73/,
43,Chloropicon_sp_CCMP2113,2864388,chlorophyte,TSA,RCC,2020,RCC-METDB_00082-chloropicon-sp-ccmp2113-paired.fasta,nt,25923,RCC-METDB_00082-chloropicon-sp-ccmp2113-paired.6tr.bf1.fasta,155538,RCC-METDB_00082-chloropicon-sp-ccmp2113-paired.6tr.PFAM34.0.domtblout.tab,Chloropicon sp CCMP2113,CCMP2113,"Niang et al., 2020",http://metdb.sb-roscoff.fr/metdb/assembly/79/,
44,Chroodactylon_ramnosum,139907,rhodophyte,TSA,RCC,2020,RCC-METDB_00086-chroodactylon-ramnosum-sag103.79-paired.fasta,nt,83556,RCC-METDB_00086-chroodactylon-ramnosum-sag103.79-paired.6tr.bf1.fasta,501336,RCC-METDB_00086-chroodactylon-ramnosum-sag103.79-paired.PFAM34.0.domtblout.tab,Chroodactylon ramnosum RCC654,SAG 103.79,"Niang et al., 2020",http://metdb.sb-roscoff.fr/metdb/assembly/83/,
45,Emiliania_huxleyi,2903,haptophyte,TSA,RCC,2020,RCC-METDB_00146-emiliania-huxleyi-ac675syn.os2-paired.fasta,nt,190227,RCC-METDB_00146-emiliania-huxleyi-ac675syn.os2-paired.6tr.bf1.fasta,1141362,RCC-METDB_00146-emiliania-huxleyi-ac675syn.os2-paired.PFAM34.0.domtblout.tab,Emiliania huxleyi RCC1253,AC675 syn. OS 2,"Niang et al., 2020",http://metdb.sb-roscoff.fr/metdb/assembly/136/,
46,Emiliania_huxleyi,2903,haptophyte,TSA,RCC,2020,RCC-METDB_00150-emiliania-huxleyi-boum77-paired.fasta,nt,115025,RCC-METDB_00150-emiliania-huxleyi-boum77-paired.6tr.bf1.fasta,690150,RCC-METDB_00150-emiliania-huxleyi-boum77-paired.6tr.PFAM34.0.domtblout.tab,Emiliania huxleyi RCC1857,BOUM77,"Niang et al., 2020",http://metdb.sb-roscoff.fr/metdb/assembly/137/,
47,Emiliania_huxleyi,2903,haptophyte,TSA,RCC,2020,RCC-METDB_00151-emiliania-huxleyi-chc2-paired.fasta,nt,154229,RCC-METDB_00151-emiliania-huxleyi-chc2-paired.6tr.bf1.fasta,925374,RCC-METDB_00151-emiliania-huxleyi-chc2-paired.6tr.PFAM34.0.domtblout.tab,Emiliania huxleyi RCC3782,CHC2,"Niang et al., 2020",http://metdb.sb-roscoff.fr/metdb/assembly/138/,
48,Pelagomonas_calceolata,35677,ochrophyte,TSA,RCC,2020,RCC-METDB_00311-pelagomonas-calceolata-indianocean_17-1-paired.fasta,nt,49601,RCC-METDB_00311-pelagomonas-calceolata-indianocean_17-1-paired.6tr.bf1.fasta,297606,RCC-METDB_00311-pelagomonas-calceolata-indianocean_17-1-paired.6tr.PFAM34.0.domtblout.tab,Pelagomonas calceolata RCC706,IndianOcean_17-1,"Niang et al., 2020",http://metdb.sb-roscoff.fr/metdb/assembly/290/,
49,Gephyrocapsa_muellerae,1663125,haptophyte,TSA,RCC,2020,RCC-METDB_00180-gephyrocapsa-mullerae-chc184-paired.fasta,nt,120869,RCC-METDB_00180-gephyrocapsa-mullerae-chc184-paired.6tr.bf1.fasta,725214,RCC-METDB_00180-gephyrocapsa-mullerae-chc184-paired.6tr.PFAM34.0.domtblout.tab,Gephyrocapsa muellerae RCC3370,CHC184,"Niang et al., 2020",http://metdb.sb-roscoff.fr/metdb/assembly/165/,
50,Pelagomonas_calceolata,35677,ochrophyte,TSA,RCC,2020,RCC-METDB_00312-pelagomonas-calceolata-biosope_111c1e-paired.fasta,nt,31553,RCC-METDB_00312-pelagomonas-calceolata-biosope_111c1e-paired.6tr.bf1.fasta,189318,RCC-METDB_00312-pelagomonas-calceolata-biosope_111c1e-paired.6tr.PFAM34.0.domtblout.tab,Pelagomonas calceolata RCC981,Biosope_111 C1E,"Niang et al., 2020",,
51,Glossomastix_chrysoplasta,172669,ochrophyte,TSA,RCC,2020,RCC-METDB_00185-glossomastix-chrysoplasta-ccmp1537-paired.fasta,nt,40839,RCC-METDB_00185-glossomastix-chrysoplasta-ccmp1537-paired.6tr.bf1.fasta,245034,RCC-METDB_00185-glossomastix-chrysoplasta-ccmp1537-paired.6tr.PFAM34.0.domtblout.tab,Glossomastix chrysoplasta RCC624,CCMP1537,"Niang et al., 2020",http://metdb.sb-roscoff.fr/metdb/assembly/169/,
52,Guinardia_flaccida,216801,diatom,TSA,RCC,2020,RCC-METDB_00191-guinardia-flaccida-ra120910p1e1-paired.fasta,nt,44890,RCC-METDB_00191-guinardia-flaccida-ra120910p1e1-paired.6tr.bf1.fasta,269340,RCC-METDB_00191-guinardia-flaccida-ra120910p1e1-paired.6tr.PFAM34.0.domtblout.tab,Guinardia flaccida RCC3093,RA120910 P1E1,"Niang et al., 2020",http://metdb.sb-roscoff.fr/metdb/assembly/175/,
53,Naviculales_sp_RCC2677,1764899,diatom,TSA,RCC,2020,RCC-METDB_00198-haslea-sp-aka_5ap52.f2-paired.fasta,nt,56164,RCC-METDB_00198-haslea-sp-aka_5ap52.f2-paired.6tr.bf1.fasta,336984,RCC-METDB_00198-haslea-sp-aka_5ap52.f2-paired.PFAM34.0.domtblout.tab,Haslea sp RCC2677,Aka_5A P52.F2,"Niang et al., 2020",http://metdb.sb-roscoff.fr/metdb/assembly/181/,
54,Mesopedinella_arctica,296676,ochrophyte,TSA,RCC,2020,RCC-METDB_00246-mesopedinella-arctica-prosope_2-paired.fasta,nt,150960,RCC-METDB_00246-mesopedinella-arctica-prosope_2-paired.6tr.bf1.fasta,905760,RCC-METDB_00246-mesopedinella-arctica-prosope_2-paired.6tr.PFAM34.0.domtblout.tab,Mesopedinella arctica RCC382,PROSOPE_2,"Niang et al., 2020",http://metdb.sb-roscoff.fr/metdb/assembly/227/,
55,Micromonas_commoda,1606511,chlorophyte,TSA,RCC,2020,RCC-METDB_00250-micromonas-commoda-biosope_46b4s-paired.fasta,nt,42441,RCC-METDB_00250-micromonas-commoda-biosope_46b4s-paired.6tr.bf1.fasta,254646,RCC-METDB_00250-micromonas-commoda-biosope_46b4s-paired.6tr.PFAM34.0.domtblout.tab,Micromonas commoda RCC996,biosope_46 B4S,"Niang et al., 2020",http://metdb.sb-roscoff.fr/metdb/assembly/231/,
56,Minidiscus_sp_RCC1721,2604711,diatom,TSA,RCC,2020,RCC-METDB_00262-minidiscus-sp-ra080513-10-paired.fasta,nt,51623,RCC-METDB_00262-minidiscus-sp-ra080513-10-paired.6tr.bf1.fasta,309738,RCC-METDB_00262-minidiscus-sp-ra080513-10-paired.6tr.PFAM34.0.domtblout.tab,Minidiscus sp RCC1721,RA080513-10,"Niang et al., 2020",http://metdb.sb-roscoff.fr/metdb/assembly/241/,
57,Navicula_sp_RCC3092,1764896,diatom,TSA,RCC,2020,RCC-METDB_00269-navicula-sp-ra120910p2a1-paired.fasta,nt,72551,RCC-METDB_00269-navicula-sp-ra120910p2a1-paired.6tr.bf1.fasta,435306,RCC-METDB_00269-navicula-sp-ra120910p2a1-paired.6tr.PFAM34.0.domtblout.tab,Navicula sp RCC3092,RA120910 P2A1,"Niang et al., 2020",http://metdb.sb-roscoff.fr/metdb/assembly/246/,
58,Ochromonas_triangulata,1964564,ochrophyte,TSA,RCC,2020,RCC-METDB_00278-ochromonas-triangulata-chr25-paired.fasta,nt,44109,RCC-METDB_00278-ochromonas-triangulata-chr25-paired.6tr.bf1.fasta,264654,RCC-METDB_00278-ochromonas-triangulata-chr25-paired.6tr.PFAM34.0.domtblout.tab,Ochromonas triangulata RCC21,CHR25,"Niang et al., 2020",http://metdb.sb-roscoff.fr/metdb/assembly/255/,
59,Phaeocystis_sp_RCC908,464236,haptophyte,TSA,RCC,2020,RCC-METDB_00485-phaeocystis-sp-biosope226fl2-3-paired.fasta,nt,78817,RCC-METDB_00485-phaeocystis-sp-biosope226fl2-3-paired.6tr.bf1.fasta,472902,RCC-METDB_00485-phaeocystis-sp-biosope226fl2-3-paired.6tr.PFAM34.0.domtblout.tab,Phaeocystis sp RCC908,Biosope_226_FL2-3,"Niang et al., 2020",http://metdb.sb-roscoff.fr/metdb/assembly/318/,
60,Partenskyella_glossopodia,552666,rhizaria,TSA,RCC,2020,RCC-METDB_00299-partenskyella-glossopodia-prosope_99-paired.fasta,nt,63741,RCC-METDB_00299-partenskyella-glossopodia-prosope_99-paired.6tr.bf1.fasta,382446,RCC-METDB_00299-partenskyella-glossopodia-prosope_99-paired.6tr.PFAM34.0.domtblout.tab,Partenskyella glossopodia RCC365,PROSOPE_99,"Niang et al., 2020",http://metdb.sb-roscoff.fr/metdb/assembly/277/,
61,Pelagomonas_calceolata,35677,ochrophyte,TSA,RCC,2020,RCC-METDB_00309-pelagomonas-calceolata-ccmp1214-paired.fasta,nt,32250,RCC-METDB_00309-pelagomonas-calceolata-ccmp1214-paired.6tr.bf1.fasta,193500,RCC-METDB_00309-pelagomonas-calceolata-ccmp1214-paired.6tr.PFAM34.0.domtblout.tab,Pelagomonas calceolata RCC100,CCMP1214,"Niang et al., 2020",http://metdb.sb-roscoff.fr/metdb/assembly/288/,
62,Pelagophyceae_sp_RCC2696,1764647,ochrophyte,TSA,RCC,2020,RCC-METDB_00316-pelagophyceae_xxx-sp-akap71.e10-paired.fasta,nt,46597,RCC-METDB_00316-pelagophyceae_xxx-sp-akap71.e10-paired.6tr.bf1.fasta,279582,RCC-METDB_00316-pelagophyceae_xxx-sp-akap71.e10-paired.PFAM34.0.domtblout.tab,Pelagophyceae_Xxx sp RCC2696,Aka P71.E10,"Niang et al., 2020",http://metdb.sb-roscoff.fr/metdb/assembly/295/,
63,Phaeocystis_antarctica,33657,haptophyte,TSA,RCC,2020,RCC-METDB_00325-phaeocystis-antarctica-ccmp1374-paired.fasta,nt,103290,RCC-METDB_00325-phaeocystis-antarctica-ccmp1374-paired.6tr.bf1.fasta,619740,RCC-METDB_00325-phaeocystis-antarctica-ccmp1374-paired.6tr.PFAM34.0.domtblout.tab,Phaeocystis antarctica RCC4023,CCMP1374,"Niang et al., 2020",http://metdb.sb-roscoff.fr/metdb/assembly/304/,
64,Phaeocystis_antarctica,33657,haptophyte,TSA,RCC,2020,RCC-METDB_00326-phaeocystis-antarctica-ccmp1871-paired.fasta,nt,162178,RCC-METDB_00326-phaeocystis-antarctica-ccmp1871-paired.6tr.bf1.fasta,973068,RCC-METDB_00326-phaeocystis-antarctica-ccmp1871-paired.6tr.PFAM34.0.domtblout.tab,Phaeocystis antarctica RCC4024,CCMP1871,"Niang et al., 2020",http://metdb.sb-roscoff.fr/metdb/assembly/306/,
65,Phaeocystis_cordata,118079,haptophyte,TSA,RCC,2020,RCC-METDB_00327-phaeocystis-cordata-ccmp2495-paired.fasta,nt,80926,RCC-METDB_00327-phaeocystis-cordata-ccmp2495-paired.6tr.bf1.fasta,485556,RCC-METDB_00327-phaeocystis-cordata-ccmp2495-paired.6tr.PFAM34.0.domtblout.tab,Phaeocystis cordata RCC1383,CCMP2495,"Niang et al., 2020",http://metdb.sb-roscoff.fr/metdb/assembly/307/,
