ref_id,tax_id,source_filename,seq_type,n_seqs_raw,aa_fasta,n_seqs_aa,Pfam34_raw_file
24,1501138,GFWO01.1.fsa_nt.gz,nt,210768,GFWO01.6tr.bf1.fasta,1264608,GFWO01.PFAM34.0.domtblout.tab
25,6832,GBSZ01.1.fsa_nt.gz,nt,12067,GBSZ01.6tr.bf1.fasta,72402,GBSZ01.PFAM34.0.domtblout.tab
26,1133412,GDFW01.1.fsa_nt.gz,nt,38250,GDFW01.6tr.bf1.fasta,229500,GDFW01.PFAM34.0.domtblout.tab
27,158387,GCHA01.1.fsa_nt.gz,nt,54758,GCHA01.6tr.bf1.fasta,328548,GCHA01.PFAM34.0.domtblout.tab
28,565004,GCJT01.1.fsa_nt.gz,nt,60687,GCJT01.6tr.bf1.fasta,364122,GCJT01.PFAM34.0.domtblout.tab
29,84317,GARW01.1.fsa_nt.gz,nt,51528,GARW01.6tr.bf1.fasta,309168,GARW01.PFAM34.0.domtblout.tab
30,72036,HACA01P.1.fsa_aa.gz,aa,33918,HACA01P.1.fsa_aa,33918,HACA01P.PFAM34.0.domtblout.tab
31,217165,GAZX01.1.fsa_nt.gz,nt,44088,GAZX01.6tr.bf1.fasta,264528,GAZX01.PFAM34.0.domtblout.tab
32,503034,GFCI01.1.fsa_nt.gz,nt,554991,GFCI01.6tr.bf1.fasta,3329946,GFCI01.PFAM34.0.domtblout.tab
33,2041349,GIQR01.1.fsa_nt.gz,nt,24322,GIQR01.6tr.bf1.fasta,145932,GIQR01.PFAM34.0.domtblout.tab
34,33658,phaeocystisglobosa_euk_seqs.fasta,nt,69528,phaeocystisglobosa_euk_seqs.6tr.bf1.fasta,417168,phaeocystisglobosa_euk_seqs.PFAM34.0.domtblout.tab
35,1764641,RCC-METDB_00017-ankylochrysis-sp-malift191.5pg1-paired.fasta,nt,108001,RCC-METDB_00017-ankylochrysis-sp-malift191.5pg1-paired.6tr.bf1.fasta,648006,RCC-METDB_00017-ankylochrysis-sp-malift191.5pg1-paired.PFAM34.0.domtblout.tab
36,44056,RCC-METDB_00030-aureococcus-anophagefferens-ccmp1784-paired.fasta,nt,51884,RCC-METDB_00030-aureococcus-anophagefferens-ccmp1784-paired.6tr.bf1.fasta,311304,RCC-METDB_00030-aureococcus-anophagefferens-ccmp1784-paired.6tr.PFAM34.0.domtblout.tab
37,227086,RCC-METDB_00044-bigelowiella-natans-bl_33-3-paired.fasta,nt,136867,RCC-METDB_00044-bigelowiella-natans-bl_33-3-paired.6tr.bf1.fasta,821202,RCC-METDB_00044-bigelowiella-natans-bl_33-3-paired.6tr.PFAM34.0.domtblout.tab
38,1764863,RCC-METDB_00045-bigelowiella-sp-bl_34-paired.fasta,nt,122937,RCC-METDB_00045-bigelowiella-sp-bl_34-paired.6tr.bf1.fasta,737622,RCC-METDB_00045-bigelowiella-sp-bl_34-paired.6tr.PFAM34.0.domtblout.tab
39,35677,RCC-METDB_00310-pelagomonas-calceolata-boum81-4-paired.fasta,nt,81704,RCC-METDB_00310-pelagomonas-calceolata-boum81-4-paired.6tr.bf1.fasta,490224,RCC-METDB_00310-pelagomonas-calceolata-boum81-4-paired.6tr.PFAM34.0.domtblout.tab
40,2565275,RCC-METDB_00069-chloroparvula-sp_b2-indianocean_1-1-paired.fasta,nt,43461,RCC-METDB_00069-chloroparvula-sp_b2-indianocean_1-1-paired.6tr.bf1.fasta,260766,RCC-METDB_00069-chloroparvula-sp_b2-indianocean_1-1-paired.6tr.PFAM34.0.domtblout.tab
41,464255,RCC-METDB_00070-chloroparvula-sp_b3-biosope_46c4s-paired.fasta,nt,33696,RCC-METDB_00070-chloroparvula-sp_b3-biosope_46c4s-paired.6tr.bf1.fasta,202176,RCC-METDB_00070-chloroparvula-sp_b3-biosope_46c4s-paired.6tr.PFAM34.0.domtblout.tab
42,1461542,RCC-METDB_00074-chloropicon-maureeniae-lrf_5-paired.fasta,nt,52919,RCC-METDB_00074-chloropicon-maureeniae-lrf_5-paired.6tr.bf1.fasta,317514,RCC-METDB_00074-chloropicon-maureeniae-lrf_5-paired.6tr.PFAM34.0.domtblout.tab
43,2864388,RCC-METDB_00082-chloropicon-sp-ccmp2113-paired.fasta,nt,25923,RCC-METDB_00082-chloropicon-sp-ccmp2113-paired.6tr.bf1.fasta,155538,RCC-METDB_00082-chloropicon-sp-ccmp2113-paired.6tr.PFAM34.0.domtblout.tab
44,139907,RCC-METDB_00086-chroodactylon-ramnosum-sag103.79-paired.fasta,nt,83556,RCC-METDB_00086-chroodactylon-ramnosum-sag103.79-paired.6tr.bf1.fasta,501336,RCC-METDB_00086-chroodactylon-ramnosum-sag103.79-paired.PFAM34.0.domtblout.tab
45,2903,RCC-METDB_00146-emiliania-huxleyi-ac675syn.os2-paired.fasta,nt,190227,RCC-METDB_00146-emiliania-huxleyi-ac675syn.os2-paired.6tr.bf1.fasta,1141362,RCC-METDB_00146-emiliania-huxleyi-ac675syn.os2-paired.PFAM34.0.domtblout.tab
46,2903,RCC-METDB_00150-emiliania-huxleyi-boum77-paired.fasta,nt,115025,RCC-METDB_00150-emiliania-huxleyi-boum77-paired.6tr.bf1.fasta,690150,RCC-METDB_00150-emiliania-huxleyi-boum77-paired.6tr.PFAM34.0.domtblout.tab
47,2903,RCC-METDB_00151-emiliania-huxleyi-chc2-paired.fasta,nt,154229,RCC-METDB_00151-emiliania-huxleyi-chc2-paired.6tr.bf1.fasta,925374,RCC-METDB_00151-emiliania-huxleyi-chc2-paired.6tr.PFAM34.0.domtblout.tab
48,35677,RCC-METDB_00311-pelagomonas-calceolata-indianocean_17-1-paired.fasta,nt,49601,RCC-METDB_00311-pelagomonas-calceolata-indianocean_17-1-paired.6tr.bf1.fasta,297606,RCC-METDB_00311-pelagomonas-calceolata-indianocean_17-1-paired.6tr.PFAM34.0.domtblout.tab
49,1663125,RCC-METDB_00180-gephyrocapsa-mullerae-chc184-paired.fasta,nt,120869,RCC-METDB_00180-gephyrocapsa-mullerae-chc184-paired.6tr.bf1.fasta,725214,RCC-METDB_00180-gephyrocapsa-mullerae-chc184-paired.6tr.PFAM34.0.domtblout.tab
50,35677,RCC-METDB_00312-pelagomonas-calceolata-biosope_111c1e-paired.fasta,nt,31553,RCC-METDB_00312-pelagomonas-calceolata-biosope_111c1e-paired.6tr.bf1.fasta,189318,RCC-METDB_00312-pelagomonas-calceolata-biosope_111c1e-paired.6tr.PFAM34.0.domtblout.tab
51,172669,RCC-METDB_00185-glossomastix-chrysoplasta-ccmp1537-paired.fasta,nt,40839,RCC-METDB_00185-glossomastix-chrysoplasta-ccmp1537-paired.6tr.bf1.fasta,245034,RCC-METDB_00185-glossomastix-chrysoplasta-ccmp1537-paired.6tr.PFAM34.0.domtblout.tab
52,216801,RCC-METDB_00191-guinardia-flaccida-ra120910p1e1-paired.fasta,nt,44890,RCC-METDB_00191-guinardia-flaccida-ra120910p1e1-paired.6tr.bf1.fasta,269340,RCC-METDB_00191-guinardia-flaccida-ra120910p1e1-paired.6tr.PFAM34.0.domtblout.tab
53,1764899,RCC-METDB_00198-haslea-sp-aka_5ap52.f2-paired.fasta,nt,56164,RCC-METDB_00198-haslea-sp-aka_5ap52.f2-paired.6tr.bf1.fasta,336984,RCC-METDB_00198-haslea-sp-aka_5ap52.f2-paired.PFAM34.0.domtblout.tab
54,296676,RCC-METDB_00246-mesopedinella-arctica-prosope_2-paired.fasta,nt,150960,RCC-METDB_00246-mesopedinella-arctica-prosope_2-paired.6tr.bf1.fasta,905760,RCC-METDB_00246-mesopedinella-arctica-prosope_2-paired.6tr.PFAM34.0.domtblout.tab
55,1606511,RCC-METDB_00250-micromonas-commoda-biosope_46b4s-paired.fasta,nt,42441,RCC-METDB_00250-micromonas-commoda-biosope_46b4s-paired.6tr.bf1.fasta,254646,RCC-METDB_00250-micromonas-commoda-biosope_46b4s-paired.6tr.PFAM34.0.domtblout.tab
56,2604711,RCC-METDB_00262-minidiscus-sp-ra080513-10-paired.fasta,nt,51623,RCC-METDB_00262-minidiscus-sp-ra080513-10-paired.6tr.bf1.fasta,309738,RCC-METDB_00262-minidiscus-sp-ra080513-10-paired.6tr.PFAM34.0.domtblout.tab
57,1764896,RCC-METDB_00269-navicula-sp-ra120910p2a1-paired.fasta,nt,72551,RCC-METDB_00269-navicula-sp-ra120910p2a1-paired.6tr.bf1.fasta,435306,RCC-METDB_00269-navicula-sp-ra120910p2a1-paired.6tr.PFAM34.0.domtblout.tab
58,1964564,RCC-METDB_00278-ochromonas-triangulata-chr25-paired.fasta,nt,44109,RCC-METDB_00278-ochromonas-triangulata-chr25-paired.6tr.bf1.fasta,264654,RCC-METDB_00278-ochromonas-triangulata-chr25-paired.6tr.PFAM34.0.domtblout.tab
59,464236,RCC-METDB_00485-phaeocystis-sp-biosope226fl2-3-paired.fasta,nt,78817,RCC-METDB_00485-phaeocystis-sp-biosope226fl2-3-paired.6tr.bf1.fasta,472902,RCC-METDB_00485-phaeocystis-sp-biosope226fl2-3-paired.6tr.PFAM34.0.domtblout.tab
60,552666,RCC-METDB_00299-partenskyella-glossopodia-prosope_99-paired.fasta,nt,63741,RCC-METDB_00299-partenskyella-glossopodia-prosope_99-paired.6tr.bf1.fasta,382446,RCC-METDB_00299-partenskyella-glossopodia-prosope_99-paired.6tr.PFAM34.0.domtblout.tab
61,35677,RCC-METDB_00309-pelagomonas-calceolata-ccmp1214-paired.fasta,nt,32250,RCC-METDB_00309-pelagomonas-calceolata-ccmp1214-paired.6tr.bf1.fasta,193500,RCC-METDB_00309-pelagomonas-calceolata-ccmp1214-paired.6tr.PFAM34.0.domtblout.tab
62,1764647,RCC-METDB_00316-pelagophyceae_xxx-sp-akap71.e10-paired.fasta,nt,46597,RCC-METDB_00316-pelagophyceae_xxx-sp-akap71.e10-paired.6tr.bf1.fasta,279582,RCC-METDB_00316-pelagophyceae_xxx-sp-akap71.e10-paired.PFAM34.0.domtblout.tab
63,33657,RCC-METDB_00325-phaeocystis-antarctica-ccmp1374-paired.fasta,nt,103290,RCC-METDB_00325-phaeocystis-antarctica-ccmp1374-paired.6tr.bf1.fasta,619740,RCC-METDB_00325-phaeocystis-antarctica-ccmp1374-paired.6tr.PFAM34.0.domtblout.tab
64,33657,RCC-METDB_00326-phaeocystis-antarctica-ccmp1871-paired.fasta,nt,162178,RCC-METDB_00326-phaeocystis-antarctica-ccmp1871-paired.6tr.bf1.fasta,973068,RCC-METDB_00326-phaeocystis-antarctica-ccmp1871-paired.6tr.PFAM34.0.domtblout.tab
65,118079,RCC-METDB_00327-phaeocystis-cordata-ccmp2495-paired.fasta,nt,80926,RCC-METDB_00327-phaeocystis-cordata-ccmp2495-paired.6tr.bf1.fasta,485556,RCC-METDB_00327-phaeocystis-cordata-ccmp2495-paired.6tr.PFAM34.0.domtblout.tab
66,33658,RCC-METDB_00329-phaeocystis-globosa-rikz-graves-paired.fasta,nt,121626,RCC-METDB_00329-phaeocystis-globosa-rikz-graves-paired.6tr.bf1.fasta,729756,RCC-METDB_00329-phaeocystis-globosa-rikz-graves-paired.6tr.PFAM34.0.domtblout.tab
67,1631190,RCC-METDB_00330-phaeocystis-rex-he001206-d2-b1-paired.fasta,nt,117315,RCC-METDB_00330-phaeocystis-rex-he001206-d2-b1-paired.6tr.bf1.fasta,703890,RCC-METDB_00330-phaeocystis-rex-he001206-d2-b1-paired.6tr.PFAM34.0.domtblout.tab
68,33658,RCC-METDB_00334-phaeocystis-sp-nies1396-paired.fasta,nt,111156,RCC-METDB_00334-phaeocystis-sp-nies1396-paired.6tr.bf1.fasta,666936,RCC-METDB_00334-phaeocystis-sp-nies1396-paired.6tr.PFAM34.0.domtblout.tab
69,464232,RCC-METDB_00335-phaeocystis-sp-biosope202-paired.fasta,nt,145499,RCC-METDB_00335-phaeocystis-sp-biosope202-paired.6tr.bf1.fasta,872994,RCC-METDB_00335-phaeocystis-sp-biosope202-paired.6tr.PFAM34.0.domtblout.tab
70,464238,RCC-METDB_00336-phaeocystis-sp-biosope219fl2-3-paired.fasta,nt,76231,RCC-METDB_00336-phaeocystis-sp-biosope219fl2-3-paired.6tr.bf1.fasta,457386,RCC-METDB_00336-phaeocystis-sp-biosope219fl2-3-paired.6tr.PFAM34.0.domtblout.tab
71,1764931,RCC-METDB_00346-pleurosigma-sp-ra120910p1b3-paired.fasta,nt,104593,RCC-METDB_00346-pleurosigma-sp-ra120910p1b3-paired.6tr.bf1.fasta,627558,RCC-METDB_00346-pleurosigma-sp-ra120910p1b3-paired.6tr.PFAM34.0.domtblout.tab
72,1048533,RCC-METDB_00408-shionodiscus-bioculatus-malinaft99.3pg3bis-paired.fasta,nt,73450,RCC-METDB_00408-shionodiscus-bioculatus-malinaft99.3pg3bis-paired.6tr.bf1.fasta,440700,RCC-METDB_00408-shionodiscus-bioculatus-malinaft99.3pg3bis-paired.PFAM34.0.domtblout.tab
73,1764925,RCC-METDB_00442-synedra-sp-malinas93p44.d11-paired.fasta,nt,38813,RCC-METDB_00442-synedra-sp-malinas93p44.d11-paired.6tr.bf1.fasta,232878,RCC-METDB_00442-synedra-sp-malinas93p44.d11-paired.PFAM34.0.domtblout.tab
74,91992,RCC-METDB_00475-triparma-pacifica-oli94sch-paired.fasta,nt,42880,RCC-METDB_00475-triparma-pacifica-oli94sch-paired.6tr.bf1.fasta,257280,RCC-METDB_00475-triparma-pacifica-oli94sch-paired.6tr.PFAM34.0.domtblout.tab
75,91992,RCC-METDB_00476-triparma-pacifica-min129-20maa-paired.fasta,nt,43658,RCC-METDB_00476-triparma-pacifica-min129-20maa-paired.6tr.bf1.fasta,261948,RCC-METDB_00476-triparma-pacifica-min129-20maa-paired.6tr.PFAM34.0.domtblout.tab
76,1775427,Amoce1_GeneCatalog_proteins_20200805.aa.fasta.gz,aa,32250,Amoce1_GeneCatalog_proteins_20200805.aa.fasta,19925,Amoce1_GeneCatalog_proteins_20200805.PFAM34.0.domtblout.tab
77,702273,Aplke1_GeneCatalog_proteins_20121220.aa.fasta.gz,aa,46597,Aplke1_GeneCatalog_proteins_20121220.aa.fasta,11892,Aplke1_GeneCatalog_proteins_20121220.PFAM34.0.domtblout.tab
78,717989,Aurli1_GeneCatalog_proteins_20120618.aa.fasta.gz,aa,103290,Aurli1_GeneCatalog_proteins_20120618.aa.fasta,14859,Aurli1_GeneCatalog_proteins_20120618.PFAM34.0.domtblout.tab
79,44056,proteins.Auran1_FilteredModels3.fasta.gz,aa,162178,proteins.Auran1_FilteredModels3.fasta,11501,proteins.Auran1_FilteredModels3.PFAM34.0.domtblout.tab
80,1432497,Auxeprot1_GeneCatalog_proteins_20170909.aa.fasta.gz,aa,80926,Auxeprot1_GeneCatalog_proteins_20170909.aa.fasta,7013,Auxeprot1_GeneCatalog_proteins_20170909.aa.PFAM34.0.domtblout.tab
81,3075,Auxpr25_1_GeneCatalog_proteins_20200805.aa.fasta.gz,aa,121626,Auxpr25_1_GeneCatalog_proteins_20200805.aa.fasta,6041,Auxpr25_1_GeneCatalog_proteins_20200805.aa.PFAM34.0.domtblout.tab
82,1075084,Batpra1_GeneCatalog_proteins_20180426.aa.fasta.gz,aa,117315,Batpra1_GeneCatalog_proteins_20180426.aa.fasta,7900,Batpra1_GeneCatalog_proteins_20180426.aa.PFAM34.0.domtblout.tab
83,753081,Bigna1_filtered_proteins.fasta.gz,aa,111156,Bigna1_filtered_proteins.fasta,21708,Bigna1_filtered_proteins.PFAM34.0.domtblout.tab
84,12968,Blahom1_GeneCatalog_proteins_20180131.aa.fasta.gz,aa,145499,Blahom1_GeneCatalog_proteins_20180131.aa.fasta,6020,Blahom1_GeneCatalog_proteins_20180131.PFAM34.0.domtblout.tab
85,1202541,Botrbrau1_GeneCatalog_proteins_20200805.aa.fasta.gz,aa,76231,Botrbrau1_GeneCatalog_proteins_20200805.aa.fasta,23685,Botrbrau1_GeneCatalog_proteins_20200805.aa.PFAM34.0.domtblout.tab
86,2499525,Bremi1_GeneCatalog_proteins_20200813.aa.fasta.gz,aa,104593,Bremi1_GeneCatalog_proteins_20200813.aa.fasta,47014,Bremi1_GeneCatalog_proteins_20200813.PFAM34.0.domtblout.tab
87,148947,Caulen1_GeneCatalog_proteins_20200307.aa.fasta.gz,aa,73450,Caulen1_GeneCatalog_proteins_20200307.aa.fasta,8818,Caulen1_GeneCatalog_proteins_20200307.aa.PFAM34.0.domtblout.tab
88,69332,Chabra1_GeneCatalog_proteins_20200807.aa.fasta.gz,aa,38813,Chabra1_GeneCatalog_proteins_20200807.aa.fasta,35672,Chabra1_GeneCatalog_proteins_20200807.aa.PFAM34.0.domtblout.tab
89,1157962,Chleu1_GeneCatalog_proteins_20200804.aa.fasta.gz,aa,42880,Chleu1_GeneCatalog_proteins_20200804.aa.fasta,14061,Chleu1_GeneCatalog_proteins_20200804.aa.PFAM34.0.domtblout.tab
90,51695,Chlin1_GeneCatalog_proteins_20200804.aa.fasta.gz,aa,43658,Chlin1_GeneCatalog_proteins_20200804.aa.fasta,16957,Chlin1_GeneCatalog_proteins_20200804.aa.PFAM34.0.domtblout.tab
91,3055,Chlre5_6_GeneCatalog_proteins_20200117.aa.fasta.gz,aa,16403,Chlre5_6_GeneCatalog_proteins_20200117.aa.fasta,16403,Chlre5_6_GeneCatalog_proteins_20200117.aa.PFAM34.0.domtblout.tab
92,2026947,Chlsc1_GeneCatalog_proteins_20200804.aa.fasta.gz,aa,16268,Chlsc1_GeneCatalog_proteins_20200804.aa.fasta,16268,Chlsc1_GeneCatalog_proteins_20200804.aa.PFAM34.0.domtblout.tab
93,2041167,ChloA99_1_GeneCatalog_proteins_20200807.aa.fasta.gz,aa,8298,ChloA99_1_GeneCatalog_proteins_20200807.aa.fasta,8298,ChloA99_1_GeneCatalog_proteins_20200807.aa.PFAM34.0.domtblout.tab
94,3076,ChloDOE1412_1_GeneCatalog_proteins_20200805.aa.fasta.gz,aa,12611,ChloDOE1412_1_GeneCatalog_proteins_20200805.aa.fasta,12611,ChloDOE1412_1_GeneCatalog_proteins_20200805.aa.PFAM34.0.domtblout.tab
95,3076,Chloso1230_1_GeneCatalog_proteins_20200805.aa.fasta.gz,aa,12871,Chloso1230_1_GeneCatalog_proteins_20200805.aa.fasta,12871,Chloso1230_1_GeneCatalog_proteins_20200805.aa.PFAM34.0.domtblout.tab
96,3076,Chloso1602_1_GeneCatalog_proteins_20200805.aa.fasta.gz,aa,10384,Chloso1602_1_GeneCatalog_proteins_20200805.aa.fasta,10384,Chloso1602_1_GeneCatalog_proteins_20200805.aa.PFAM34.0.domtblout.tab
97,3076,Chloso1228_1_GeneCatalog_proteins_20200805.aa.fasta.gz,aa,12169,Chloso1228_1_GeneCatalog_proteins_20200805.aa.fasta,12169,Chloso1228_1_GeneCatalog_proteins_20200805.aa.PFAM34.0.domtblout.tab
98,554065,Chlorella_NC64A.best_proteins.fasta.gz,aa,9791,Chlorella_NC64A.best_proteins.fasta,9791,Chlorella_NC64A.best_proteins.PFAM34.0.domtblout.tab
99,3144,Chlat1_GeneCatalog_proteins_20200803.aa.fasta.gz,aa,9300,Chlat1_GeneCatalog_proteins_20200803.aa.fasta,9300,Chlat1_GeneCatalog_proteins_20200803.aa.PFAM34.0.domtblout.tab
100,1764295,Chlpri1_GeneCatalog_proteins_20200307.aa.fasta.gz,aa,8327,Chlpri1_GeneCatalog_proteins_20200307.aa.fasta,8327,Chlpri1_GeneCatalog_proteins_20200307.aa.PFAM34.0.domtblout.tab
101,2769,Chocri1_GeneCatalog_proteins_20180417.aa.fasta.gz,aa,9808,Chocri1_GeneCatalog_proteins_20180417.aa.fasta,9808,Chocri1_GeneCatalog_proteins_20180417.aa.PFAM34.0.domtblout.tab
102,31302,Chrzof1_GeneCatalog_proteins_20190731.aa.fasta.gz,aa,15274,Chrzof1_GeneCatalog_proteins_20190731.aa.fasta,15274,Chrzof1_GeneCatalog_proteins_20190731.aa.PFAM34.0.domtblout.tab
103,127563,Chrpa1_GeneCatalog_proteins_20200805.aa.fasta.gz,aa,28185,Chrpa1_GeneCatalog_proteins_20200805.aa.fasta,28185,Chrpa1_GeneCatalog_proteins_20200805.PFAM34.0.domtblout.tab
104,1460289,Chrsp_1_GeneCatalog_proteins_20180813.aa.fasta.gz,aa,16770,Chrsp_1_GeneCatalog_proteins_20180813.aa.fasta,16770,Chrsp_1_GeneCatalog_proteins_20180813.PFAM34.0.domtblout.tab
105,2562237,Clago1_GeneCatalog_proteins_20200812.aa.fasta.gz,aa,35913,Clago1_GeneCatalog_proteins_20200812.aa.fasta,35913,Clago1_GeneCatalog_proteins_20200812.PFAM34.0.domtblout.tab
106,309737,Claok1_GeneCatalog_proteins_20200804.aa.fasta.gz,aa,14750,Claok1_GeneCatalog_proteins_20200804.aa.fasta,14750,Claok1_GeneCatalog_proteins_20200804.PFAM34.0.domtblout.tab
107,574566,Coccomyxa_C169_v2_filtered_proteins.fasta.gz,aa,9629,Coccomyxa_C169_v2_filtered_proteins.fasta,9629,Coccomyxa_C169_v2_filtered_proteins.PFAM34.0.domtblout.tab
108,697907,Crypto2293_1_GeneCatalog_proteins_20160903.aa.fasta.gz,aa,33051,Crypto2293_1_GeneCatalog_proteins_20160903.aa.fasta,33051,Crypto2293_1_GeneCatalog_proteins_20160903.PFAM34.0.domtblout.tab
109,45157,CyamerSoos_1_GeneCatalog_proteins_20200805.aa.fasta.gz,aa,4406,CyamerSoos_1_GeneCatalog_proteins_20200805.aa.fasta,4406,CyamerSoos_1_GeneCatalog_proteins_20200805.aa.PFAM34.0.domtblout.tab
110,280699,Cyamer1_GeneCatalog_proteins_20180616.aa.fasta.gz,aa,4803,Cyamer1_GeneCatalog_proteins_20180616.aa.fasta,4803,Cyamer1_GeneCatalog_proteins_20180616.aa.PFAM34.0.domtblout.tab
111,2762,Cyapar1_GeneCatalog_proteins_20200807.aa.fasta.gz,aa,25518,Cyapar1_GeneCatalog_proteins_20200807.aa.fasta,25518,Cyapar1_GeneCatalog_proteins_20200807.PFAM34.0.domtblout.tab
112,29204,Cyccr1_GeneCatalog_proteins_20200805.aa.fasta.gz,aa,21121,Cyccr1_GeneCatalog_proteins_20200805.aa.fasta,21121,Cyccr1_GeneCatalog_proteins_20200805.PFAM34.0.domtblout.tab
113,3046,Dunsal1_1_GeneCatalog_proteins_20200511.aa.fasta.gz,aa,18801,Dunsal1_1_GeneCatalog_proteins_20200511.aa.fasta,18801,Dunsal1_1_GeneCatalog_proteins_20200511.aa.PFAM34.0.domtblout.tab
114,2880,Ectsil1_GeneCatalog_proteins_20171109.aa.fasta.gz,aa,16271,Ectsil1_GeneCatalog_proteins_20171109.aa.fasta,16271,Ectsil1_GeneCatalog_proteins_20171109.aa.PFAM34.0.domtblout.tab
115,47281,Edade1_GeneCatalog_proteins_20200805.aa.fasta.gz,aa,20450,Edade1_GeneCatalog_proteins_20200805.aa.fasta,20450,Edade1_GeneCatalog_proteins_20200805.aa.PFAM34.0.domtblout.tab
116,280463,Emihu1_best_proteins.fasta.gz,aa,39125,Emihu1_best_proteins.fasta,39125,Emihu1_best_proteins.PFAM34.0.domtblout.tab
